Date,Open,High,Low,Close,Volume
2019-09-04 16:00:00,106.288,106.308,106.25,106.3005,2317
2019-09-04 17:00:00,106.302,106.362,106.24,106.298,2669
2019-09-04 18:00:00,106.299,106.448,106.28,106.4065,2970
2019-09-04 19:00:00,106.4075,106.428,106.343,106.371,2733
2019-09-04 20:00:00,106.3695,106.43,106.316,106.408,1419
2019-09-04 21:00:00,106.379,106.42,106.3575,106.3605,181
2019-09-04 22:00:00,106.365,106.3855,106.328,106.339,444
2019-09-04 23:00:00,106.341,106.364,106.328,106.34,994
2019-09-05 00:00:00,106.339,106.466,106.332,106.4065,4058
2019-09-05 01:00:00,106.4075,106.718,106.372,106.692,8982
2019-09-05 02:00:00,106.693,106.755,106.626,106.672,4697
2019-09-05 03:00:00,106.6705,106.674,106.614,106.6525,2231
2019-09-05 04:00:00,106.6535,106.654,106.5,106.539,2795
2019-09-05 05:00:00,106.5375,106.626,106.526,106.576,2660
2019-09-05 06:00:00,106.5745,106.586,106.436,106.485,5521
2019-09-05 07:00:00,106.4865,106.536,106.374,106.5205,7230
2019-09-05 08:00:00,106.519,106.549,106.463,106.548,4773
2019-09-05 09:00:00,106.549,106.588,106.484,106.5395,3487
2019-09-05 10:00:00,106.5385,106.652,106.52,106.6365,4020
2019-09-05 11:00:00,106.6345,106.74,106.624,106.6485,3566
2019-09-05 12:00:00,106.6465,106.935,106.618,106.8565,6045
2019-09-05 13:00:00,106.8575,106.956,106.804,106.8575,5477
2019-09-05 14:00:00,106.8595,107.232,106.86,107.047,11766
